SM_SYMBOL_NAME,SEM_SMST_SECURITY_ID
GOLDSTAR POWER LIMITED,1
AMARA RAJA ENERGY MOB LTD,100
SKM EGG PROD-ROLL SETT,10056
EMAMI PAPER MILLS LIMITED,10074
FACT LTD,1008
GODREJ CONSUMER PRODUCTS,10099
SCHAEFFLER INDIA LIMITED,1011
ORICON ENTERPRISES LTD,10159
BALKRISHNA PAPER MILLS L,10181
SHYAM CENTURY FERROUS LTD,10188
ADANI ENERGY SOLUTION LTD,10217
MANORAMA INDUSTRIES LTD,10227
FEDERAL BANK LTD,1023
CONFIDENCE PETRO IND LTD.,10238
SYNGENE INTERNATIONAL LTD,10243
EMKAY TAP & CUT. TOOL LTD,10253
NGL FINE CHEM LIMITED,10277
KAYA LIMITED,10282
AYM SYNTEX LIMITED,10285
KCK INDUSTRIES LTD,10293
PRAKASH PIPES LIMITED,10297
AARON INDUSTRIES LIMITED,1030
RAMA STEEL TUBES LIMITED,10300
AURUM PROPTECH LIMITED,10310
THE P K TEA PROD CO LTD,10318
SKP BEARING INDUSTRI. LTD,10325
RADHIKA JEWELTECH LIMITED,10343
CSL FINANCE LIMITED,10350
DIGICONTENT LIMITED,10358
FINOLEX CABLES LTD,1038
JAIN IRRIGATION SYSTEMS,10397
SHARE IND. SECURITIES LTD,104
STEEL CITY SECURITIES LTD,10406
KSHITIJ POLYLINE LIMITED,10407
FINOLEX INDUSTRIES LTD,1041
MUTHOOT CAP SERV LTD,10415
DYNAMIC CABLES LIMITED,10417
LUPIN LIMITED,10440
UNITED SPIRITS LIMITED,10447
SATIN CREDIT NET LTD,10453
ARVIND SMARTSPACES LTD,10457
POWER MECH PROJECTS LTD.,10473
RAM RATNA WIRES LIMITED,10485
AGNI GREEN POWER LTD,10498
UFLEX LIMITED,1053
SHARDA MOTOR INDS LTD,10530
NAVKAR CORPORATION LTD.,10557
RAMA PHOSPHATES LIMITED,10571
KRBL LIMITED,10577
MPS LIMITED,10578
MARKSANS PHARMA LIMITED,10579
TRANSPORT CORPN OF INDIA,10580
SHRE PUSH CHEM & FERT LTD,10588
GUJARAT GAS LIMITED,10599
BHARTI AIRTEL LIMITED,10604
LOYAL TEXTILE MILLS LTD,10605
UPSURGE SEEDS OF AGRI LTD,10617
SADBHAV INFRA PROJ LTD.,10622
AUTOMOTIVE STAMPINGS & AS,10634
OLECTRA GREENTECH LIMITED,10637
PONNIE SUGARS (ERODE) LTD,10661
PUNJAB NATIONAL BANK,10666
SHAIVAL REALITY LIMITED,10684
SURANA TELECOM AND POW LT,10700
VEEKAYEM FASH & APP LTD,10710
INDIAMART INTERMESH LTD,10726
FOSECO INDIA LTD,1073
SPORTKING INDIA LIMITED,10733
ORACLE FIN SERV SOFT LTD.,10738
UNION BANK OF INDIA,10753
APTECH LIMITED,10755
ZENSAR TECHNOLOGIES  LTD,1076
ORIENTAL AROMATICS LTD,10768
AHIMSA INDUSTRIES LTD.,10770
NUCLEUS SOFTWARE EXPORTS,10791
SYRMA SGS TECHNOLOGY LTD,10793
CANARA BANK,10794
SEYA INDUSTRIES LIMITED,10836
GABRIEL INDIA LTD,1085
DREAMFOLKS SERVICES LTD,10862
GVP INFOTECH LIMITED,10865
GRM OVERSEAS LIMITED,10871
JFL LIFE SCIENCES LIMITED,10885
JAY JALARAM TECHNO LTD,10889
DHAMPUR BIO ORGANICS LTD,10893
AMEYA PRECISION ENG LTD,10898
GENESYS INTL CORPN LTD,10905
GODREJ INDUSTRIES LTD,10925
RADAAN MEDIAWORKS (I) LTD,10932
DIVI S LABORATORIES LTD,10940
TAMILNAD MERCA BANK LTD,10945
THE STATE TRADING CORPN,10948
VIVIANA POWER TECH LTD,10967
MEGA FLEX PLASTICS LTD,10971
SABAR FLEX INDIA LIMITED,10985
RADICO KHAITAN LTD,10990
